time	V(v_out)	I(I1)
6.266104378256590e-04	5.004851e+00	1.000000e-01
6.311675806828044e-04	5.004825e+00	1.000000e-01
6.357247235399499e-04	5.004803e+00	1.000000e-01
6.402818663970953e-04	5.004785e+00	1.000000e-01
6.448390092542407e-04	5.004770e+00	1.000000e-01
6.475890092542423e-04	5.004763e+00	1.000000e-01
6.503390092542439e-04	5.004756e+00	1.000000e-01
6.530890092542454e-04	5.004750e+00	1.000000e-01
6.558390092542470e-04	5.004745e+00	1.000000e-01
6.585890092542485e-04	5.004741e+00	1.000000e-01
6.613390092542501e-04	5.004737e+00	1.000000e-01
6.640890092542516e-04	5.004735e+00	1.000000e-01
6.641390092542517e-04	5.004735e+00	1.000000e-01
6.657675806828240e-04	5.004734e+00	1.000000e-01
6.673961521113964e-04	5.004733e+00	1.000000e-01
6.690247235399688e-04	5.004732e+00	1.000000e-01
6.706532949685410e-04	5.004731e+00	1.000000e-01
6.722818663971134e-04	5.004731e+00	1.000000e-01
6.739104378256858e-04	5.004731e+00	1.000000e-01
6.755390092542581e-04	5.004731e+00	1.000000e-01
6.766032949685444e-04	5.004731e+00	1.000000e-01
6.776675806828308e-04	5.004732e+00	1.000000e-01
6.787318663971170e-04	5.004732e+00	1.000000e-01
6.797961521114034e-04	5.004732e+00	1.000000e-01
6.808604378256897e-04	5.004733e+00	1.000000e-01
6.819247235399761e-04	5.004733e+00	1.000000e-01
6.829890092542623e-04	5.004734e+00	1.000000e-01
6.860390092542641e-04	5.004736e+00	1.000000e-01
6.890890092542658e-04	5.004738e+00	1.000000e-01
6.921390092542675e-04	5.004741e+00	1.000000e-01
6.951890092542693e-04	5.004744e+00	1.000000e-01
6.982390092542710e-04	5.004748e+00	1.000000e-01
7.012890092542727e-04	5.004752e+00	1.000000e-01
7.043390092542744e-04	5.004757e+00	1.000000e-01
7.059032949685610e-04	5.004759e+00	1.000000e-01
7.074675806828477e-04	5.004762e+00	1.000000e-01
7.090318663971342e-04	5.004764e+00	1.000000e-01
7.105961521114209e-04	5.004767e+00	1.000000e-01
7.121604378257074e-04	5.004769e+00	1.000000e-01
7.137247235399941e-04	5.004772e+00	1.000000e-01
7.152890092542806e-04	5.004775e+00	1.000000e-01
7.153390092542807e-04	5.004775e+00	1.000000e-01
7.202747235399978e-04	5.004784e+00	1.000000e-01
7.252104378257148e-04	5.004793e+00	1.000000e-01
7.301461521114319e-04	5.004803e+00	1.000000e-01
7.350818663971490e-04	5.004812e+00	1.000000e-01
7.400175806828661e-04	5.004822e+00	1.000000e-01
7.449532949685832e-04	5.004832e+00	1.000000e-01
7.498890092543002e-04	5.004842e+00	1.000000e-01
7.499890092543003e-04	5.004843e+00	1.000000e-01
7.500000000000000e-04	5.004843e+00	1.000000e-01
7.500350000000000e-04	5.004820e+00	1.006300e-01
7.500750000000000e-04	5.004794e+00	1.013500e-01
7.501250000000000e-04	5.004761e+00	1.022500e-01
7.501750000000001e-04	5.004727e+00	1.031500e-01
7.502250000000001e-04	5.004692e+00	1.040500e-01
7.502750000000001e-04	5.004656e+00	1.049500e-01
7.503250000000001e-04	5.004620e+00	1.058500e-01
7.503750000000002e-04	5.004582e+00	1.067500e-01
7.504250000000002e-04	5.004544e+00	1.076500e-01
7.504750000000002e-04	5.004506e+00	1.085500e-01
7.505250000000003e-04	5.004467e+00	1.094500e-01
7.505750000000003e-04	5.004428e+00	1.103500e-01
7.506250000000003e-04	5.004388e+00	1.112500e-01
7.506750000000003e-04	5.004348e+00	1.121500e-01
7.507250000000004e-04	5.004307e+00	1.130500e-01
7.507750000000004e-04	5.004266e+00	1.139500e-01
7.508250000000004e-04	5.004225e+00	1.148500e-01
7.509250000000005e-04	5.004141e+00	1.166500e-01
7.510250000000005e-04	5.004056e+00	1.184500e-01
7.511250000000006e-04	5.003968e+00	1.202500e-01
7.512250000000007e-04	5.003880e+00	1.220500e-01
7.513750000000007e-04	5.003743e+00	1.247500e-01
7.515250000000008e-04	5.003603e+00	1.274500e-01
7.516250000000009e-04	5.003507e+00	1.292500e-01
7.517250000000009e-04	5.003408e+00	1.310500e-01
7.518250000000010e-04	5.003308e+00	1.328500e-01
7.519250000000011e-04	5.003205e+00	1.346500e-01
7.519750000000011e-04	5.003153e+00	1.355500e-01
7.520250000000011e-04	5.003100e+00	1.364500e-01
7.520750000000011e-04	5.003047e+00	1.373500e-01
7.521250000000012e-04	5.002993e+00	1.382500e-01
7.521750000000012e-04	5.002938e+00	1.391500e-01
7.522250000000012e-04	5.002883e+00	1.400500e-01
7.522750000000012e-04	5.002827e+00	1.409500e-01
7.523250000000013e-04	5.002770e+00	1.418500e-01
7.523750000000013e-04	5.002713e+00	1.427500e-01
7.524250000000013e-04	5.002656e+00	1.436500e-01
7.524750000000014e-04	5.002597e+00	1.445500e-01
7.525250000000014e-04	5.002538e+00	1.454500e-01
7.525750000000014e-04	5.002478e+00	1.463500e-01
7.526250000000014e-04	5.002417e+00	1.472500e-01
7.526750000000015e-04	5.002356e+00	1.481500e-01
7.527250000000015e-04	5.002294e+00	1.490500e-01
7.527750000000015e-04	5.002231e+00	1.499500e-01
7.528250000000016e-04	5.002168e+00	1.508500e-01
7.528750000000016e-04	5.002104e+00	1.517500e-01
7.529250000000016e-04	5.002039e+00	1.526500e-01
7.530250000000017e-04	5.001907e+00	1.544500e-01
7.530750000000017e-04	5.001841e+00	1.553500e-01
7.531750000000018e-04	5.001705e+00	1.571500e-01
7.532750000000018e-04	5.001566e+00	1.589500e-01
7.534250000000019e-04	5.001353e+00	1.616500e-01
7.534964285714305e-04	5.001250e+00	1.629357e-01
7.535678571428591e-04	5.001145e+00	1.642214e-01
7.536392857142877e-04	5.001038e+00	1.655071e-01
7.537107142857164e-04	5.000931e+00	1.667929e-01
7.537821428571450e-04	5.000821e+00	1.680786e-01
7.538535714285736e-04	5.000711e+00	1.693643e-01
7.539250000000022e-04	5.000599e+00	1.706500e-01
7.540750000000023e-04	5.000360e+00	1.733500e-01
7.542250000000024e-04	5.000115e+00	1.760500e-01
7.543750000000024e-04	4.999864e+00	1.787500e-01
7.545250000000025e-04	4.999607e+00	1.814500e-01
7.546750000000026e-04	4.999345e+00	1.841500e-01
7.548250000000027e-04	4.999077e+00	1.868500e-01
7.549750000000028e-04	4.998803e+00	1.895500e-01
7.550750000000028e-04	4.998617e+00	1.913500e-01
7.553750000000030e-04	4.998046e+00	1.967500e-01
7.554750000000031e-04	4.997850e+00	1.985500e-01
7.555750000000031e-04	4.997653e+00	2.003500e-01
7.556750000000032e-04	4.997453e+00	2.021500e-01
7.557750000000032e-04	4.997251e+00	2.039500e-01
7.560321428571463e-04	4.996719e+00	2.085786e-01
7.562892857142892e-04	4.996172e+00	2.132071e-01
7.565464285714322e-04	4.995610e+00	2.178357e-01
7.568035714285753e-04	4.995033e+00	2.224643e-01
7.570607142857183e-04	4.994441e+00	2.270929e-01
7.573178571428612e-04	4.993833e+00	2.317214e-01
7.575750000000043e-04	4.993211e+00	2.363500e-01
7.581178571428617e-04	4.991846e+00	2.461214e-01
7.586607142857192e-04	4.990421e+00	2.558929e-01
7.592035714285766e-04	4.988937e+00	2.656643e-01
7.597464285714340e-04	4.987393e+00	2.754357e-01
7.602892857142915e-04	4.985789e+00	2.852072e-01
7.608321428571490e-04	4.984127e+00	2.949786e-01
7.613750000000064e-04	4.982404e+00	3.047500e-01
7.614250000000064e-04	4.982243e+00	3.056500e-01
7.614750000000065e-04	4.982082e+00	3.065500e-01
7.615250000000065e-04	4.981921e+00	3.074500e-01
7.615750000000065e-04	4.981760e+00	3.083500e-01
7.616250000000065e-04	4.981599e+00	3.092500e-01
7.616750000000066e-04	4.981439e+00	3.101500e-01
7.617250000000066e-04	4.981279e+00	3.110500e-01
7.618250000000067e-04	4.980960e+00	3.128500e-01
7.619750000000067e-04	4.980486e+00	3.155500e-01
7.620821428571497e-04	4.980150e+00	3.174786e-01
7.621892857142925e-04	4.979817e+00	3.194071e-01
7.622964285714355e-04	4.979486e+00	3.213357e-01
7.624035714285784e-04	4.979158e+00	3.232643e-01
7.625107142857214e-04	4.978833e+00	3.251928e-01
7.626178571428642e-04	4.978510e+00	3.271214e-01
7.627250000000072e-04	4.978190e+00	3.290500e-01
7.628464285714358e-04	4.977831e+00	3.312357e-01
7.629678571428644e-04	4.977475e+00	3.334214e-01
7.630892857142930e-04	4.977123e+00	3.356071e-01
7.632107142857218e-04	4.976775e+00	3.377929e-01
7.633321428571504e-04	4.976430e+00	3.399786e-01
7.634535714285790e-04	4.976088e+00	3.421643e-01
